model_id,seq_len,num_samples,head_dim,budget,sk,sv,total_kv_MB,residual_MB,saving_vs_fp16_pct,ppl,ppl_source,is_effective_choice,carekv_status,pareto_status,dominated_by
facebook/opt-6.7b,256,4,128,SK0SV0,0,0,26.0,0.0,79.6875,18.9425,measured_basequant_int3,False,real,frontier,
facebook/opt-6.7b,256,4,128,SK0SV2,0,2,27.827,0.565,78.2602,,no_ppl_row,False,real,,
facebook/opt-6.7b,256,4,128,SK0SV4,0,4,28.654,1.13,77.6141,18.7951,measured_calibration_vdom,False,real,frontier,
facebook/opt-6.7b,256,4,128,SK2SV4,2,4,29.481,1.695,76.968,18.7951,measured_calibration_kv,True,real,dominated,SK0SV4
facebook/opt-6.7b,256,4,128,SK4SV4,4,4,30.308001,2.26,76.3219,,no_ppl_row,False,real,,
EleutherAI/pythia-6.9b,128,4,128,SK0SV0,0,0,13.0,0.0,79.6875,67.4197,measured_basequant_int3,True,blocked_architecture_port,frontier,
EleutherAI/pythia-6.9b,128,4,128,SK0SV2,0,2,13.9135,0.2825,78.2602,,no_ppl_row,False,blocked_architecture_port,,
EleutherAI/pythia-6.9b,128,4,128,SK0SV4,0,4,14.327,0.565,77.6141,,measured_calibration_vdom,False,blocked_architecture_port,,
EleutherAI/pythia-6.9b,128,4,128,SK2SV4,2,4,14.740499,0.8475,76.968,,measured_calibration_kv,False,blocked_architecture_port,,
EleutherAI/pythia-6.9b,128,4,128,SK4SV4,4,4,15.154,1.13,76.3219,,no_ppl_row,False,blocked_architecture_port,,
facebook/opt-6.7b,128,4,128,SK0SV0,0,0,13.0,0.0,79.6875,22.9384,measured_basequant_int3,True,blocked_architecture_port,frontier,
facebook/opt-6.7b,128,4,128,SK0SV2,0,2,13.9135,0.2825,78.2602,,no_ppl_row,False,blocked_architecture_port,,
facebook/opt-6.7b,128,4,128,SK0SV4,0,4,14.327,0.565,77.6141,,measured_calibration_vdom,False,blocked_architecture_port,,
facebook/opt-6.7b,128,4,128,SK2SV4,2,4,14.740499,0.8475,76.968,,measured_calibration_kv,False,blocked_architecture_port,,
facebook/opt-6.7b,128,4,128,SK4SV4,4,4,15.154,1.13,76.3219,,no_ppl_row,False,blocked_architecture_port,,
mistralai/Mistral-7B-v0.3,1024,2,128,SK0SV0,0,0,26.0,0.0,79.6875,5.7254,measured_basequant_int3,True,real,frontier,
mistralai/Mistral-7B-v0.3,1024,2,128,SK0SV2,0,2,27.827,0.565,78.2602,,no_ppl_row,False,real,,
mistralai/Mistral-7B-v0.3,1024,2,128,SK0SV4,0,4,28.654,1.13,77.6141,,measured_calibration_vdom,False,real,,
mistralai/Mistral-7B-v0.3,1024,2,128,SK2SV4,2,4,29.481,1.695,76.968,,measured_calibration_kv,False,real,,
mistralai/Mistral-7B-v0.3,1024,2,128,SK4SV4,4,4,30.308001,2.26,76.3219,,no_ppl_row,False,real,,
mistralai/Mistral-7B-v0.3,128,4,128,SK0SV0,0,0,3.25,0.0,79.6875,9.0171,measured_basequant_int3,False,real,frontier,
mistralai/Mistral-7B-v0.3,128,4,128,SK0SV2,0,2,3.478375,0.070625,78.2602,,no_ppl_row,False,real,,
mistralai/Mistral-7B-v0.3,128,4,128,SK0SV4,0,4,3.58175,0.14125,77.6141,8.8149,measured_calibration_vdom,True,real,frontier,
mistralai/Mistral-7B-v0.3,128,4,128,SK2SV4,2,4,3.685125,0.211875,76.968,8.851,measured_calibration_kv,False,real,dominated,SK0SV4
mistralai/Mistral-7B-v0.3,128,4,128,SK4SV4,4,4,3.7885,0.2825,76.3219,,no_ppl_row,False,real,,
EleutherAI/pythia-6.9b,256,4,128,SK0SV0,0,0,26.0,0.0,79.6875,67.6836,measured_basequant_int3,True,blocked_architecture_port,frontier,
EleutherAI/pythia-6.9b,256,4,128,SK0SV2,0,2,27.827,0.565,78.2602,,no_ppl_row,False,blocked_architecture_port,,
EleutherAI/pythia-6.9b,256,4,128,SK0SV4,0,4,28.654,1.13,77.6141,,measured_calibration_vdom,False,blocked_architecture_port,,
EleutherAI/pythia-6.9b,256,4,128,SK2SV4,2,4,29.481,1.695,76.968,,measured_calibration_kv,False,blocked_architecture_port,,
EleutherAI/pythia-6.9b,256,4,128,SK4SV4,4,4,30.308001,2.26,76.3219,,no_ppl_row,False,blocked_architecture_port,,
openlm-research/open_llama_7b_v2,256,4,128,SK0SV0,0,0,26.0,0.0,79.6875,9.4984,measured_basequant_int3,False,real,frontier,
openlm-research/open_llama_7b_v2,256,4,128,SK0SV2,0,2,27.827,0.565,78.2602,,no_ppl_row,False,real,,
openlm-research/open_llama_7b_v2,256,4,128,SK0SV4,0,4,28.654,1.13,77.6141,9.4632,measured_calibration_vdom,False,real,frontier,
openlm-research/open_llama_7b_v2,256,4,128,SK2SV4,2,4,29.481,1.695,76.968,9.4225,measured_calibration_kv,True,real,frontier,
openlm-research/open_llama_7b_v2,256,4,128,SK4SV4,4,4,30.308001,2.26,76.3219,,no_ppl_row,False,real,,
openlm-research/open_llama_7b_v2,128,4,128,SK0SV0,0,0,13.0,0.0,79.6875,10.0014,measured_basequant_int3,True,real,frontier,
openlm-research/open_llama_7b_v2,128,4,128,SK0SV2,0,2,13.9135,0.2825,78.2602,,no_ppl_row,False,real,,
openlm-research/open_llama_7b_v2,128,4,128,SK0SV4,0,4,14.327,0.565,77.6141,,measured_calibration_vdom,False,real,,
openlm-research/open_llama_7b_v2,128,4,128,SK2SV4,2,4,14.740499,0.8475,76.968,,measured_calibration_kv,False,real,,
openlm-research/open_llama_7b_v2,128,4,128,SK4SV4,4,4,15.154,1.13,76.3219,,no_ppl_row,False,real,,
01-ai/Yi-6B,1024,1,128,SK0SV0,0,0,13.0,0.0,79.6875,4.8939,measured_basequant_int3,False,real,frontier,
01-ai/Yi-6B,1024,1,128,SK0SV2,0,2,13.9135,0.2825,78.2602,,no_ppl_row,False,real,,
01-ai/Yi-6B,1024,1,128,SK0SV4,0,4,14.327,0.565,77.6141,4.7529,measured_calibration_vdom,True,real,frontier,
01-ai/Yi-6B,1024,1,128,SK2SV4,2,4,14.740499,0.8475,76.968,4.7566,measured_calibration_kv,False,real,dominated,SK0SV4
01-ai/Yi-6B,1024,1,128,SK4SV4,4,4,15.154,1.13,76.3219,,no_ppl_row,False,real,,
openlm-research/open_llama_7b_v2,1024,1,128,SK0SV0,0,0,104.0,0.0,79.6875,4.7284,measured_basequant_int3,True,blocked,frontier,
openlm-research/open_llama_7b_v2,1024,1,128,SK0SV2,0,2,111.308001,2.26,78.2602,,no_ppl_row,False,blocked,,
openlm-research/open_llama_7b_v2,1024,1,128,SK0SV4,0,4,114.616,4.52,77.6141,,measured_calibration_vdom,False,blocked,,
openlm-research/open_llama_7b_v2,1024,1,128,SK2SV4,2,4,117.924,6.78,76.968,,measured_calibration_kv,False,blocked,,
openlm-research/open_llama_7b_v2,1024,1,128,SK4SV4,4,4,121.232,9.04,76.3219,,no_ppl_row,False,blocked,,
deepseek-ai/deepseek-llm-7b-base,1024,1,128,SK0SV0,0,0,97.5,0.0,79.6875,5.6674,measured_basequant_int3,True,blocked,frontier,
deepseek-ai/deepseek-llm-7b-base,1024,1,128,SK0SV2,0,2,104.35125,2.11875,78.2602,,no_ppl_row,False,blocked,,
deepseek-ai/deepseek-llm-7b-base,1024,1,128,SK0SV4,0,4,107.4525,4.2375,77.6141,,measured_calibration_vdom,False,blocked,,
deepseek-ai/deepseek-llm-7b-base,1024,1,128,SK2SV4,2,4,110.55375,6.35625,76.968,,measured_calibration_kv,False,blocked,,
deepseek-ai/deepseek-llm-7b-base,1024,1,128,SK4SV4,4,4,113.655001,8.475,76.3219,,no_ppl_row,False,blocked,,
mistralai/Mistral-7B-v0.3,1024,1,128,SK0SV0,0,0,26.0,0.0,79.6875,4.127,measured_basequant_int3,True,real,frontier,
mistralai/Mistral-7B-v0.3,1024,1,128,SK0SV2,0,2,27.827,0.565,78.2602,,no_ppl_row,False,real,,
mistralai/Mistral-7B-v0.3,1024,1,128,SK0SV4,0,4,28.654,1.13,77.6141,,measured_calibration_vdom,False,real,,
mistralai/Mistral-7B-v0.3,1024,1,128,SK2SV4,2,4,29.481,1.695,76.968,,measured_calibration_kv,False,real,,
mistralai/Mistral-7B-v0.3,1024,1,128,SK4SV4,4,4,30.308001,2.26,76.3219,,no_ppl_row,False,real,,
